PassengerId,Survived_pred,Survived_prob
892,0,0.1483403459404737
893,1,0.5
894,0,0.1405300771580501
895,0,0.14062004217590704
896,1,0.5178824390790571
897,0,0.16615809127680806
898,1,0.8496528376248511
899,0,0.18715641659749777
900,1,0.7274145475171319
901,0,0.12396856168787158
902,0,0.14126428397906132
903,0,0.1485901584802692
904,1,0.8863002667611927
905,0,0.13425251587914003
906,1,0.9088281107226082
907,1,0.8846373473603191
908,0,0.13442256235423156
909,0,0.16693338563989607
910,0,0.4582211709313219
911,1,0.647004960023211
912,0,0.24922060485903988
913,1,0.6148844400954544
914,1,0.9038360063054443
915,0,0.2879480057664464
916,1,0.5
917,0,0.11478274920187362
918,1,0.9044792572857615
919,0,0.16081589912344482
920,0,0.14882603945016942
921,0,0.14999066888986343
922,0,0.13237013709182857
923,0,0.17515582826477305
924,0,0.42626488205733154
925,0,0.42912073680234497
926,0,0.18047742777104192
927,0,0.18058154441830515
928,1,0.576073710345561
929,1,0.5406142489927938
930,0,0.13985253897223773
931,0,0.1644791219950492
932,0,0.14034059976375937
933,0,0.14820023510634645
934,0,0.1485105687430405
935,1,0.8739274750338267
936,1,0.9139188519579717
937,0,0.13974637918576366
938,0,0.15969193803923776
939,0,0.14703335406811877
940,1,0.8365023325653627
941,1,0.6250860392655144
942,0,0.16393546212164295
943,0,0.13911727595567155
944,1,0.7957396672929603
945,1,0.8507451066469995
946,0,0.13787120717930454
947,0,0.12717674443323562
948,0,0.1476200330513612
949,0,0.13973223834175888
950,0,0.10979601070573168
951,1,0.7489634269489603
952,0,0.1516732466991603
953,0,0.14078258785134035
954,0,0.14832050958370305
955,1,0.8438550732806444
956,1,0.5263468835306004
957,1,0.8754268382758857
958,1,0.8347479005736349
959,0,0.14782847562094642
960,0,0.14627839650787214
961,0,0.24910401397965554
962,1,0.8472834489040493
963,0,0.14187440784212316
964,1,0.5807666579829117
965,0,0.1484770711747921
966,1,0.797140335590093
967,0,0.24809065382061904
968,0,0.14127801256300423
969,1,0.8329790107429671
970,0,0.13851721527757305
971,1,0.8472834489040493
972,1,0.7558331362133723
973,0,0.4479015384953957
974,0,0.14747669788289483
975,0,0.14126428397906132
976,0,0.13396806681531517
977,0,0.13168827039768288
978,1,0.8503039708510921
979,1,0.5275918965393349
980,1,0.8504545080956188
981,1,0.8685917472975265
982,0,0.44745035393502625
983,0,0.1412538222067376
984,1,0.9265319334632857
985,0,0.14127801256300423
986,0,0.15560747205677727
987,0,0.13973957228842607
988,1,0.6962132268590308
989,0,0.14211327093886916
990,1,0.5347697503936116
991,0,0.1459997266377584
992,1,0.8946669870341348
993,0,0.13144026182748203
994,0,0.14703335406811877
995,0,0.14002677532816288
996,1,0.8157929861186374
997,0,0.1443838633296004
998,0,0.15435998632087178
999,0,0.14703335406811877
1000,0,0.14134176219348646
1001,0,0.1461380576699455
1002,0,0.14362161528247214
1003,1,0.8504809759415004
1004,1,0.8660732097794853
1005,1,0.835558293592226
1006,1,0.7388638716513627
1007,0,0.19018861470382092
1008,0,0.14825843181990672
1009,1,0.8010232662362724
1010,0,0.15327549806284382
1011,1,0.8628364095262697
1012,1,0.7982499408899347
1013,0,0.1495055956525114
1014,1,0.8996515401979713
1015,0,0.1412113517559753
1016,0,0.14703335406811877
1017,1,0.7493338716838073
1018,0,0.14074904571771865
1019,1,0.800752868597586
1020,0,0.14942904053218575
1021,0,0.13974234526945542
1022,0,0.14504546302208818
1023,0,0.17665845874281327
1024,0,0.1843999512879598
1025,0,0.13228130228923318
1026,0,0.1471512837253905
1027,0,0.13973380839273675
1028,0,0.1504252863220501
1029,0,0.13576786817039502
1030,1,0.5494554711189159
1031,0,0.19997677426975602
1032,0,0.14240228136866492
1033,1,0.8693499834199173
1034,0,0.2692735516358423
1035,0,0.13569757087264436
1036,0,0.1492409757337033
1037,0,0.167379209929958
1038,0,0.1442272952128234
1039,0,0.14075499226803717
1040,0,0.14820023510634645
1041,0,0.14722489467124056
1042,1,0.8959560215616812
1043,0,0.14827526944330793
1044,0,0.12568964816010422
1045,1,0.6211674695296627
1046,0,0.11021885917966684
1047,0,0.13972185679710317
1048,1,0.8482066433144715
1049,1,0.5490951061276811
1050,0,0.1492409757337033
1051,1,0.6708139669511602
1052,1,0.8504393589831158
1053,1,0.7263372325836706
1054,1,0.8598385016845898
1055,0,0.14119284311168434
1056,0,0.14925126981719405
1057,1,0.5
1058,0,0.1768406956089384
1059,0,0.1548467626865176
1060,1,0.8612123884373521
1061,1,0.545994267173847
1062,0,0.14123502358876258
1063,0,0.14961688585731156
1064,0,0.11697009756609703
1065,0,0.14826286974872926
1066,0,0.13678079792701922
1067,1,0.9275669747468906
1068,1,0.8496405247659012
1069,0,0.2411642412277936
1070,1,0.7301499488421493
1071,1,0.7693948133248399
1072,0,0.13851721527757305
1073,0,0.1793240796114266
1074,1,0.88805193011883
1075,0,0.14703335406811877
1076,1,0.845289678324121
1077,0,0.14876013265559748
1078,1,0.9242556889465787
1079,0,0.15000204726910027
1080,0,0.14829079620041571
1081,0,0.14887654721181556
1082,0,0.1286083075693147
1083,0,0.14828714193924
1084,0,0.458885668373572
1085,0,0.139094558434767
1086,1,0.8597885363995503
1087,0,0.14597092576709836
1088,1,0.7224457027416332
1089,1,0.527157255509877
1090,0,0.1371481867479659
1091,1,0.5762037195311135
1092,1,0.8565772007458172
1093,1,0.8980286977812918
1094,0,0.37751295163574966
1095,1,0.9304073846573317
1096,0,0.13610302007034258
1097,0,0.1493382560356284
1098,1,0.8396916853863267
1099,0,0.13642795410354155
1100,1,0.8632327291882134
1101,0,0.13974481548796183
1102,0,0.14890067439904528
1103,0,0.14119645618368726
1104,0,0.1521985552678004
1105,1,0.7714760260743053
1106,0,0.28829172956059035
1107,0,0.1481367662337053
1108,1,0.8505714224164298
1109,0,0.264735531006516
1110,1,0.7975741281441454
1111,0,0.14127801256300423
1112,1,0.8731834556780187
1113,0,0.14187677090112763
1114,1,0.8376398412811114
1115,0,0.14187309183756058
1116,1,0.8158753719844914
1117,1,0.7469194536945346
1118,0,0.14005165091785374
1119,1,0.8504545080956188
1120,0,0.15069568512017245
1121,0,0.14565016428190192
1122,0,0.16713513424725984
1123,1,0.8789427216579205
1124,0,0.12438287826225769
1125,0,0.14702870201135954
1126,0,0.19065185085067105
1127,0,0.14347473594574944
1128,0,0.3140194299552808
1129,0,0.17183652374321948
1130,1,0.9014327280229193
1131,1,0.8863909456395451
1132,1,0.8056148802278962
1133,1,0.8679676952294682
1134,0,0.22425592868818728
1135,0,0.14126355692211237
1136,0,0.12720646218358503
1137,0,0.14839807373497185
1138,1,0.849206376606489
1139,0,0.10520335191206139
1140,1,0.8628364095262697
1141,1,0.676558332583568
1142,1,0.9300346201279795
1143,0,0.14347513755170999
1144,0,0.17671905489952233
1145,0,0.13981404917652882
1146,0,0.14575684976437178
1147,0,0.14123502358876258
1148,0,0.14703335406811877
1149,0,0.14127801256300423
1150,1,0.8258185242180238
1151,0,0.14187283951622862
1152,0,0.11165516697869227
1153,0,0.14187383968872974
1154,1,0.8955965865964051
1155,1,0.8010223284275968
1156,0,0.13676889376622958
1157,0,0.14126428397906132
1158,0,0.15281978997767462
1159,0,0.14123502358876258
1160,1,0.576073710345561
1161,0,0.15166715616784368
1162,0,0.18642655124669996
1163,0,0.14703335406811877
1164,1,0.8480404209576355
